Unnamed: 0,BS,HL,HN,LR,OPTIM,MSE,ACC,REC,PREC,F1,AUROC,AUPR
122,4096,2,40,0.001,adam,0.364,0.636,0.656,0.894,0.757,0.623,0.907
123,4096,2,40,0.001,SGD,0.326,0.674,0.724,0.876,0.793,0.559,0.879
124,4096,2,40,0.010,adam,0.394,0.606,0.613,0.897,0.728,0.623,0.907
125,4096,2,40,0.010,SGD,0.361,0.639,0.670,0.883,0.762,0.584,0.892
126,4096,2,40,0.100,adam,0.394,0.606,0.617,0.894,0.730,0.619,0.906
127,4096,2,40,0.100,SGD,0.380,0.620,0.644,0.883,0.745,0.585,0.893
128,4096,3,20,0.000,adam,0.435,0.565,0.559,0.898,0.689,0.617,0.905
129,4096,3,20,0.000,SGD,0.315,0.685,0.744,0.872,0.803,0.533,0.869
130,4096,3,20,0.001,adam,0.430,0.570,0.565,0.898,0.693,0.621,0.906
131,4096,3,20,0.001,SGD,0.342,0.658,0.703,0.876,0.780,0.555,0.880
132,4096,3,20,0.010,adam,0.381,0.619,0.633,0.894,0.741,0.621,0.906
133,4096,3,20,0.010,SGD,0.320,0.680,0.735,0.874,0.798,0.545,0.875
134,4096,3,20,0.100,adam,0.432,0.568,0.564,0.897,0.692,0.615,0.904
135,4096,3,20,0.100,SGD,0.357,0.643,0.684,0.875,0.768,0.545,0.872
136,4096,3,40,0.000,adam,0.406,0.594,0.599,0.895,0.718,0.618,0.905
137,4096,3,40,0.000,SGD,0.308,0.692,0.751,0.874,0.808,0.551,0.877
138,4096,3,40,0.001,adam,0.463,0.537,0.520,0.901,0.659,0.620,0.906
139,4096,3,40,0.001,SGD,0.318,0.682,0.733,0.877,0.799,0.567,0.883
140,4096,3,40,0.010,adam,0.418,0.582,0.581,0.898,0.706,0.622,0.906
141,4096,3,40,0.010,SGD,0.381,0.619,0.646,0.880,0.745,0.570,0.886
142,4096,3,40,0.100,adam,0.418,0.582,0.583,0.896,0.706,0.619,0.905
143,4096,3,40,0.100,SGD,0.326,0.674,0.722,0.878,0.793,0.570,0.884
