,LR,MOM,BS,Epochs,Acc,Time
110,1.0,0.01,16,29,0.2,480.4388861656189
111,1.0,0.01,16,29,0.2,480.4388861656189
112,1.0,0.01,16,29,0.2,480.4388861656189
113,1.0,0.01,16,29,0.2,480.4388861656189
114,1.0,0.01,16,29,0.2,480.4388861656189
115,1.0,0.01,16,29,0.2,480.4388861656189
116,1.0,0.01,16,29,0.2,480.4388861656189
117,1.0,0.01,16,29,0.2,480.4388861656189
118,1.0,0.01,16,29,0.2,480.4388861656189
119,1.0,0.01,16,29,0.2,480.4388861656189
120,1.0,0.01,16,29,0.2,480.4388861656189
121,1.0,0.01,16,29,0.2,480.4388861656189
122,1.0,0.01,16,29,0.2,480.4388861656189
123,1.0,0.01,16,29,0.2,480.4388861656189
124,1.0,0.01,16,29,0.2,480.4388861656189
125,1.0,0.01,16,29,0.2,480.4388861656189
126,1.0,0.01,16,29,0.2,480.4388861656189
127,1.0,0.01,16,29,0.2,480.4388861656189
128,1.0,0.01,16,29,0.2,480.4388861656189
129,1.0,0.01,16,29,0.2,480.4388861656189
130,1.0,0.1,16,29,0.2,499.1482152938843
131,1.0,0.1,16,29,0.2,499.1482152938843
132,1.0,0.1,16,29,0.2,499.1482152938843
133,1.0,0.1,16,29,0.2,499.1482152938843
134,1.0,0.1,16,29,0.2,499.1482152938843
135,1.0,0.1,16,29,0.2,499.1482152938843
136,1.0,0.1,16,29,0.2,499.1482152938843
137,1.0,0.1,16,29,0.2,499.1482152938843
138,1.0,0.1,16,29,0.2,499.1482152938843
139,1.0,0.1,16,29,0.2,499.1482152938843
140,1.0,0.1,16,29,0.2,499.1482152938843
141,1.0,0.1,16,29,0.2,499.1482152938843
142,1.0,0.1,16,29,0.2,499.1482152938843
143,1.0,0.1,16,29,0.2,499.1482152938843
144,1.0,0.1,16,29,0.2,499.1482152938843
145,1.0,0.1,16,29,0.2,499.1482152938843
146,1.0,0.1,16,29,0.2,499.1482152938843
147,1.0,0.1,16,29,0.2,499.1482152938843
