Unnamed: 0,BS,HL,HN,LR,OPTIM,MSE,ACC,REC,PREC,F1,AUROC,AUPR
122,512,2,40,0.001,adam,0.396,0.604,0.604,0.904,0.724,0.638,0.910
123,512,2,40,0.001,SGD,0.412,0.588,0.573,0.918,0.706,0.675,0.923
124,512,2,40,0.010,adam,0.391,0.609,0.605,0.911,0.727,0.664,0.919
125,512,2,40,0.010,SGD,0.418,0.582,0.565,0.919,0.699,0.676,0.923
126,512,2,40,0.100,adam,0.384,0.616,0.616,0.909,0.734,0.660,0.918
127,512,2,40,0.100,SGD,0.405,0.595,0.582,0.918,0.712,0.676,0.922
128,512,3,20,0.000,adam,0.410,0.590,0.579,0.914,0.709,0.662,0.919
129,512,3,20,0.000,SGD,0.421,0.579,0.561,0.919,0.697,0.676,0.923
130,512,3,20,0.001,adam,0.400,0.600,0.593,0.913,0.719,0.664,0.919
131,512,3,20,0.001,SGD,0.420,0.580,0.562,0.918,0.698,0.672,0.922
132,512,3,20,0.010,adam,0.404,0.596,0.586,0.914,0.714,0.666,0.920
133,512,3,20,0.010,SGD,0.431,0.569,0.548,0.920,0.687,0.673,0.922
134,512,3,20,0.100,adam,0.403,0.597,0.592,0.909,0.717,0.651,0.914
135,512,3,20,0.100,SGD,0.408,0.592,0.578,0.918,0.709,0.676,0.923
136,512,3,40,0.000,adam,0.371,0.629,0.636,0.905,0.747,0.653,0.916
137,512,3,40,0.000,SGD,0.411,0.589,0.574,0.918,0.707,0.674,0.922
138,512,3,40,0.001,adam,0.380,0.620,0.628,0.900,0.740,0.632,0.908
139,512,3,40,0.001,SGD,0.420,0.580,0.564,0.917,0.698,0.671,0.922
140,512,3,40,0.010,adam,0.396,0.604,0.602,0.907,0.724,0.651,0.915
141,512,3,40,0.010,SGD,0.415,0.585,0.569,0.919,0.702,0.677,0.923
142,512,3,40,0.100,adam,0.381,0.619,0.619,0.909,0.737,0.663,0.919
143,512,3,40,0.100,SGD,0.418,0.582,0.565,0.919,0.700,0.676,0.923
